sample_ID,treatment,timepoint,testosterone,cage,14_2_MGG44437_Loop_1,14_2_sp000403315_CTD,14_2_sp009774455_CTD,14_2_species_Loop_1,1XD42_69_sp003612565_Loop_1,Acetatifactor_MGG47754_CTD,Akkermansia_muciniphila_A_Mini-Loop_2,Alistipes_sp003979135_1_Loop_2,Alistipes_sp003979135_2_Loop_2,Bacteroidales_unclassified_1_NTL,Bacteroidales_unclassified_2_NTL,Bacteroides_MGG29794_Loop_2,Bacteroides_sp002491635_1_NTL,Bacteroides_sp002491635_2_NTL,Bacteroides_sp002491635_3_Loop_2,Bacteroides_sp002491635_4_Loop_2,Bacteroides_sp002491635_5_No_Loop,Bacteroides_species_NTL,COE1_MGG04332_CTD,COE1_sp003513705_No_Loop,COE1_sp009774345_CTD,COE1_species_CTD,Clostridia_unclassified_No_Loop,Dubosiella_MGG46395_CTD,Duncaniella_sp002494015_Mini-Loop_2,Eubacterium_F_species_CTD,Eubacterium_J_MGG03273_1_No_Loop,Eubacterium_J_MGG03273_2_NTL,Eubacterium_J_MGG27300_No_Loop,Eubacterium_J_MGG30025_No_Loop,Eubacterium_J_MGG38425_1_No_Loop,Eubacterium_J_MGG38425_2_No_Loop,Eubacterium_J_MGG39083_CTD,Eubacterium_J_MGG43396_1_CTD,Eubacterium_J_MGG43396_2_Loop_1,Eubacterium_J_plexicaudatum_No_Loop,Eubacterium_J_sp009774535_1_CTD,Eubacterium_J_sp009774535_2_No_Loop,Eubacterium_J_sp009774535_3_Loop_1,Eubacterium_R_sp009774715_CTD,Eubacterium_R_sp009774735_No_Loop,Eubacterium_R_species_CTD,Kineothrix_MGG28276_1_CTD,Kineothrix_MGG28276_2_No_Loop,Kineothrix_MGG28276_3_No_Loop,Kineothrix_MGG38724_No_Loop,Lachnospiraceae_multispecies_CTD,Lachnospiraceae_unclassified_1_No_Loop,Lachnospiraceae_unclassified_2_CTD,Lachnospiraceae_unclassified_3_CTD,Lachnospiraceae_unclassified_4_CTD,Lachnospiraceae_unclassified_5_NTL,Lachnospiraceae_unclassified_6_No_Loop,Lactobacillus_taiwanensis_Loop_1,Muribaculum_intestinale_NTL,Muribaculum_sp002358615_Loop_2,Odoribacter_MGG42794_Mini-Loop_1,Paramuribaculum_intestinale_Mini-Loop_1,Paramuribaculum_sp001689535_Mini-Loop_1,Phocaeicola_vulgatus_Mini-Loop_1,Prevotellamassilia_sp002933955_1_Mini-Loop_1,Prevotellamassilia_sp002933955_2_NTL,Schaedlerella_MGG42316_No_Loop,Schaedlerella_arabinosiphila_CTD,Schaedlerella_sp009911175_CTD,UBA3282_MGG31877_CTD,UBA3402_sp002358555_1_Loop_1,UBA3402_sp002358555_2_CTD,UBA3402_sp002358555_3_No_Loop,UBA9502_MGG22603_Mini-Loop_1
1,pre,1,low,1,0,0,0,0,0,0,0,0.952372305,1.137365889,1.516525243,0,0.974134578,1.295220351,1.276186729,1.079604828,1.048014004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.232269939,0,0,0,0,2.122213086,1.806901004,1.326456926,0,0,0,0,1.501789356,1.18983288,0,0,1.26925892,0,0,1.51943984,1.446264416,0,0,0,0,1.095029643,1.310004513,0,0
2,pre,1,low,1,0,0,0,0,0,0,0,0,0,2.956954645,0,0,1.372084373,1.097857074,1.258541807,1.260457111,0,1.610019405,0,0,0,0,0,0,0,0,0,0,0,0,1.23899876,0,0,0,0,0,0,0,0,0.968649319,2.554791764,0,0,0,0,0.764452516,0,0,0,0,0,0,0,0,1.202971248,0,0,1.140880027,0,1.182962475,1.363512945,1.404096761,0,0,0,0,0.850725391,0,0,0
3,pre,1,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.289961802,0,0,0,0,0,1.6015882,1.179744267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.097798007,0,0,0,0,0,0,0,0,0,0,0,0,2.228699854,1.44675398,0,0,1.536414948,0,0,1.265286098,1.612166703,0,0,0,0,0,0,0,0
4,pre,1,low,2,0,0,0,0,0,0,0,0.537342433,0.653820877,0,0,0,0,0,0,0,0,0.965387288,0,2.691811814,0,0,0,1.723355643,1.409539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.524895582,0,0,0,0,0,0,0,0,0,0,0,1.222596648,1.296057481,0,0,1.477049974,1.493759152,0,1.224357414,2.524423581,0,0,0,0,0,0,0,0
6,pre,1,low,2,0,3.127151491,0,1.554918557,0,0,0,0,0,0,0,0,1.031734136,2.863816762,0.986223871,3.05806591,0,1.458680553,0,0,0,0,0,0,2.663343691,0,0,0,0,0,1.554414835,1.44028603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.203663843,1.672072505,0,0,0,0,0,0,1.320214662,0,0,0,1.219202872,0,1.133195591,1.131772324,0,0,0,1.524267305,0,0,0,0
7,pre,1,low,2,0,0,0,0,0,0,1.260279561,0,0,0,1.234129914,0,1.391056282,2.734138091,2.718548939,1.246117413,0,0.882412817,0,2.640097545,0,0,0,0,1.702262762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429282077,0,0,0,0,1.165961618,0,0,0,0,0,0,0,1.096314171,0,0,1.305390487,0,0,1.128668066,1.210346838,0,0,0,0,3.125666054,2.884204609,0,0
8,pre,1,low,2,0,0,0,0,0,2.012219329,0,0,0,0,0,0,0,0,0,0,0,1.209840573,0,0,0,0,0,1.696087034,1.437234025,0,0,0,0.88533852,2.712213465,0,0,0,1.409030633,1.336198885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898716352,0,0,0,1.372392054,0,0,0,1.245009163,1.151591623,0,2.673026318,2.657974146,0,0,0,0,0,0,0,0
9,pre,1,low,3,0,0,0,0,0,0,0,1.421263426,1.533534748,2.514869846,0,0,2.691552787,0.849232229,0.726424308,0.814802813,0,0,0,2.040332021,0,0,1.57923333,0,1.251984888,0,0,0,0,0,0,0,1.027934883,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01647708,1.151558746,0,0,1.283758373,0,0,0,1.156654718,0,1.118488327,1.463091393,1.156699289,0,0,1.434802381,0,0.980080519,1.158493613,1.21204804,1.146504723,2.940641334,0,0
10,pre,1,low,3,0,0,0,0,0,0,1.002516833,0,0,4.112762928,0,0,1.23073025,2.322250168,0,2.621960712,0,1.388937287,0,0,0,0,0,0,3.004357878,1.335098969,0,0,0,0,0,0,0,0,0,0,0,0,0,2.780497624,0,0,0,0,0,0,0,0,0,0,1.143959958,0,0,1.170158477,1.288835705,0,0,0,0,1.181442677,0,0,0,0,0,0,0,0,0,0
11,pre,1,low,3,0,0,0,0,0,0,2.416329741,0,3.780712745,3.096193712,0,0,1.086101457,1.125094469,1.394465621,3.302003934,0,2.709332371,1.413191714,2.405753333,1.119332097,0,0,0,2.099176009,1.12484502,0,0,0,0,2.429321238,1.005879399,0,3.331686529,0,0,1.250702141,1.21748025,1.200731437,0,0,1.375112383,0,0,0,0,2.332740871,0,0,1.045306226,0,0,0,1.422036037,0,0,0,2.73049775,0,0,1.209558784,2.590146764,0,1.555672465,0,0,1.354640868,1.11633227,0,1.479994102
